Company Symbol,Company Name,Sector,Shares Outstanding,EPS,P/E Ratio,Book Value,PBV,Market Capitalization,% Dividend,% Bonus,Right Share
LBLD88,8.5% Laxmi Bank Debenture 2088 (LBLD88),Corporate Debenture,"2,000,000.00","0.00 (FY:, Q:0)",0,0,"1,025.00","2,050,000,000.00",,,
BHL,Balephi Hydropower Limited (BHL),Hydro Power,"36,559,400.00","-9.93 (FY:081-082, Q:2)",-34.14,70.9,4.78,"12,393,636,600.00",,,"1:1
                                
                                    (FY:081-082)"
RHPC,Ridi Hydropower Development Company Ltd. (RHPC),Hydro Power,"5,855,580.00","110.17 (FY:078-079, Q:3)",7.61,182.68,4.59,"4,906,976,040.00","12.60
                                
                                    (FY:077-078)",,
MEHL,Manakamana Engineering Hydropower Limited (MEHL),Hydro Power,"8,000,000.00","0.07 (FY:081-082, Q:2)","8,285.71",68.63,8.45,"4,640,000,000.00",,,
HEI,Himalayan Everest Insurance Limited (HEI),Non-Life Insurance,"25,001,574.00","12.79 (FY:081-082, Q:2)",49.25,204.83,3.08,"15,748,491,462.60",,,
SMATA,Samata Gharelu Laghubitta Bittiya Sanstha Limited (SMATA),Microfinance,"5,990,967.30","-5.24 (FY:081-082, Q:2)",-159.06,125.89,6.62,"4,993,471,244.55",,,
BGWT,Bhagawati Hydropower Development Company Ltd. (BGWT),Hydro Power,"5,949,473.00","4.77 (FY:081-082, Q:2)",222.2,111.63,9.49,"6,305,846,432.70","10.74
                                
                                    (FY:080-081)","4.00
                                
                                    (FY:080-081)",
NYADI,Nyadi Hydropower Limited (NYADI),Hydro Power,"15,000,000.00","-1.15 (FY:081-082, Q:2)",-513.04,73.7,8.01,"8,850,000,000.00",,,
NRBBR2067kha,Bikash Rinpatra 2067 Kha (NRBBR2067KHA),Government Bond,,"0.00 (FY:, Q:0)",0,0,0,0,,,
PFLPO,Pokhara Finance Company Limited Promoter Share (PFLPO),Promotor Share,,"0.00 (FY:, Q:0)",0,0,212,0,"2.05
                                
                                    (FY:071-072)","48.50
                                
                                    (FY:071-072)",
PRINPO,Prabhu Insurance Company Ltd. Promoter (PRINPO),Promotor Share,,"0.00 (FY:, Q:0)",0,0,451,0,,"17.00
                                
                                    (FY:072-073)","2:1
                                
                                    (FY:072-073)"
GBLBS,Grameen Bikas Laghubitta Bittiya Sanstha Ltd. (GBLBS),Microfinance,"9,825,000.00","37.63 (FY:081-082, Q:2)",22.16,311.94,2.67,"8,194,050,000.00",,,"1:0.5
                                
                                    (FY:075-076)"
JBBL,Jyoti Bikas Bank Limited (JBBL),Development Bank Limited,"43,957,858.90","11.38 (FY:081-082, Q:2)",31.3,149.36,2.38,"15,657,789,340.18",,,"1:1
                                
                                    (FY:072-073)"
EBLE89,Everest Bank Limited Urja Rinpatra 2089 (EBLE89),Corporate Debenture,"746,830.00","0.00 (FY:, Q:0)",0,0,0,0,,,
KDBY,Kumari Dhanabriddhi Yojana (KDBY),Mutual Fund,"122,507,259.00","0.00 (FY:081-082, Q:10)",0,0,0,"1,146,667,944.24","9.50
                                
                                    (FY:080-081)",,
NSIF2,NMB Sulav Investment Fund - 2 (NSIF2),Mutual Fund,"122,100,000.00","0.00 (FY:081-082, Q:10)",0,0,0,"1,268,619,000.00","10.00
                                
                                    (FY:080-081)",,
HLIPO,Himalayan Life Insurance Limited Promoter Share (HLIPO),Promotor Share,,"0.00 (FY:, Q:0)",0,0,241,0,,,
EDBLPO,Excel Development Bank Ltd. Promoter Share (EDBLPO),Promotor Share,,"0.00 (FY:, Q:0)",0,0,408,0,"1.36
                                
                                    (FY:071-072)","26.00
                                
                                    (FY:071-072)",
EBL,Everest Bank Limited (EBL),Commercial Banks,"129,446,940.00","32.06 (FY:081-082, Q:2)",19.16,225.79,2.72,"79,506,310,548.00",,,
KRBL,Karnali Development Bank Limited (KRBL),Development Bank Limited,"5,028,300.00","-15.77 (FY:081-082, Q:1)",-51.36,97.5,8.31,"4,072,923,000.00","5.00
                                
                                    (FY:072-073)","8.00
                                
                                    (FY:072-073)","1:2.25
                                
                                    (FY:073-074)"
SHLB,Shrijanshil Laghubitta Bittiya Sanstha Limited (SHLB),Microfinance,"1,093,750.00","34.27 (FY:081-082, Q:2)",66.12,225.09,10.07,"2,478,437,500.00",,,
DLBS,Dhaulagiri Laghubitta Bittiya Sanstha Limited (DLBS),Microfinance,"1,331,000.00","3.13 (FY:081-082, Q:2)",498.4,170.91,9.13,"2,076,360,000.00",,,
MBJC,Madhya Bhotekoshi Jalavidyut Company Limited (MBJC),Hydro Power,"60,000,000.00","-0.64 (FY:081-082, Q:2)",-518.91,93.8,3.54,"19,926,000,000.00",,,
NRBBR2071ka,Bikash Rinpatra 2071 Ka (NRBBR2071KA),Government Bond,,"0.00 (FY:, Q:0)",0,0,0,0,,,
SCBD,10.30% Standard Chartered Bank Nepal Limited Rinpatra (SCBD),Corporate Debenture,"2,400,000.00","0.00 (FY:, Q:0)",0,0,"1,070.00","2,568,000,000.00",,,
NRN,NRN Infrastructure and Development Limited (NRN),Investment,"12,843,722.90","8.37 (FY:081-082, Q:2)",167.86,172.1,8.16,"18,045,430,674.50","0.26
                                
                                    (FY:080-081)","5.00
                                
                                    (FY:080-081)",
TVCL,Trishuli Jal Vidhyut Company Limited (TVCL),Hydro Power,"17,891,627.70","-0.90 (FY:081-082, Q:2)",-594.44,87.36,6.12,"9,572,020,819.50",,,
KBL,Kumari Bank Limited (KBL),Commercial Banks,"262,258,613.40","2.10 (FY:081-082, Q:2)",98.95,133.51,1.56,"54,497,339,864.52",,"6.00
                                
                                    (FY:077-078)",
NRBBR2072ka,Bikash Rinpatra 2072 Ka (NRBBR2072KA),Government Bond,,"0.00 (FY:, Q:0)",0,0,0,0,,,
SFCL,Samriddhi Finance Company Limited (SFCL),Finance,"8,189,110.00","-15.34 (FY:081-082, Q:2)",-35.39,50.2,10.81,"4,445,867,819.00",,,"2:1
                                
                                    (FY:078-079)"
DORDI,Dordi Khola Jal Bidyut Company Limited (DORDI),Hydro Power,"21,085,208.00","-0.77 (FY:081-082, Q:2)",-512.99,92.76,4.26,"8,328,657,160.00",,,"1:1
                                
                                    (FY:081-082)"
