S.N,Broker No,Broker Name,Address,Phone,Website,TMS
73,44,Dynamic Money Managers Securities Pvt.Ltd,"Kamalpokhari, Kathmandu",,http://dynamic44.com/,https://tms44.nepsetms.com.np/
74,44_RWS,Dynamic Money Managers Securities Pvt.Ltd,"Near to Deva Bikas Bank, Banepa",,https://www.dynamic44.com/,https://tms45.nepsetms.com.np/login
75,45,Imperial Securities Co .Pvt.Limited,"Anamnagar, Kathmandu",,http://imperialsecurities.com.np/,https://tms45.nepsetms.com.np/login
76,45_RWS,Imperial Securities Co .Pvt.Limited,"Jumla Road, Surkhet",,https://imperialsecurities.com.np/,https://tms45.nepsetms.com.np/login
77,45_RWS,Imperial Securities Co .Pvt.Limited,"Dhamboji chok, Nepalganj",,https://imperialsecurities.com.np/,https://tms46.nepsetms.com.np/
78,46,Kalika Securities Pvt.Limited,"Hunamanthan, Anamnagar, Kathmandu, Nepal",,https://kalikasecurities.com/,https://tms46.nepsetms.com.np/
79,46_RWS,Kalika Securities Pvt.Limited,"Newroad, Nepalgunj",,https://kalikasecurities.com/,https://tms47.nepsetms.com.np/login
80,47,Neev Securities Pvt.Ltd,"Putalisadak, Kathmandu",,http://neevsecurities.com.np/,https://tms47.nepsetms.com.np/login
81,47_RWS,Neev Securities Pvt.Ltd,Itahari,,http://neevsecurities.com.np/,https://tms48.nepsetms.com.np/
82,48,Trishakti Securities Public Limited,"STAR MALL 7th Floor, Putalisadak, Kathmandu",,https://trishakti.com.np/,https://tms48.nepsetms.com.np/
83,48_RWS,Trishakti Securities Public Limited,"New Road, Pokhara",,https://trishakti.com.np/,https://tms49.nepsetms.com.np/
84,49,Online Securities Limited,"Putalisadak, Kathmandu",,http://onlinesecurities.com.np/,https://tms49.nepsetms.com.np/
85,49_RWS,Online Securities Limited,"College Road, Dharan",,http://onlinesecurities.com.np/,https://tms49.nepsetms.com.np/
86,49_RWS,Online Securities Limited,"Battar, Nuwakot",,http://onlinesecurities.com.np/,https://tms50.nepsetms.com.np/login
87,50,Crystal Kanchenjunga Securities Pvt.Ltd,"New Plaza, Kathmandu",,http://crystalsecurities.com/,https://tms50.nepsetms.com.np/login
88,50_RWS,Crystal Kanchenjunga Securities Pvt.Ltd,"Jaljala Chowk, Biratnagar",,http://crystalsecurities.com/,https://tms51.nepsetms.com.np/
89,51,Oxford Securities Pvt.Ltd,"Kalimati, Kathmandu",,,https://tms51.nepsetms.com.np/
90,51_RWS,Oxford Securities Pvt.Ltd,"Lions Chowk, Narayangard",,,https://tms52.nepsetms.com.np/login
91,52,Sundhara Securities Limited,"Sundhara, Kathmandu",,http://sundharasecurities.com.np/,https://tms52.nepsetms.com.np/login
92,52_RWS,Sundhara Securities Limited,"Narayansthan Chwok, Besisahar, Lamjung",,http://sundharasecurities.com.np/,https://tms53.nepsetms.com.np/login
93,53,Investment Management Nepal Pvt. Ltd.,"Tripureshwor,Kathmandu",,https://imnpltd.com.np/,https://tms53.nepsetms.com.np/login
94,53_RWS,Investment Management Nepal Pvt. Ltd.,"Newroad, Pokhara",,https://imnpltd.com.np/,https://tms54.nepsetms.com.np/login
95,54,Sewa Securities Pvt. Ltd.,"Tripureshwor,Kathmandu",,https://sewasecurities.com.np/,https://tms54.nepsetms.com.np/login
96,54_RWS,Sewa Securities Pvt. Ltd.,"Mainroad, Hetauda",,https://sewasecurities.com.np/,https://tms55.nepsetms.com.np/login
97,55,Bhrikuti Stock Broking Co. Pvt. Ltd.,"New Road, Opposite to Bhugol Park, Kathmandu, Nepal",,http://www.bhrikutistock.com/,https://tms55.nepsetms.com.np/login
98,55_RWS,Bhrikuti Stock Broking Co. Pvt. Ltd.,"Kasturi Chowk, Ithari",,http://www.bhrikutistock.com/,https://tms56.nepsetms.com.np/login
99,56,Sri Hari Securities Pvt.Ltd,"Kamaladi, Kathmandu",,http://sriharisecurities.com.np/,https://tms56.nepsetms.com.np/login
100,56_RWS,Sri Hari Securities Pvt.Ltd,"Birtamod, Triveni Chowk-5",,http://www.sriharisecurities.com.np/Home.aspx,https://tms57.nepsetms.com.np/
101,57,Arya Tara Investment And Securities Pvt. Ltd.,"Anamnagar, Kathmandu",,https://aryatarasecurities.com/,https://tms57.nepsetms.com.np/
102,57_RWS,Aryatara Investment & Securities,"Province-05, Traffic Chowk, Butwal",,https://aryatarasecurities.com/,https://tms57.nepsetms.com.np/
103,57_RWS,Aryatara Investment & Securities,"Province-05, New Road Ghorahi Dang",,https://aryatarasecurities.com/,https://tms57.nepsetms.com.np/
104,57_RWS,Arya Tara Investment And Securities Pvt. Ltd.,"Bhairahawa, Rupandehi",,https://aryatarasecurities.com/,https://tms57.nepsetms.com.np/
105,57_RWS,Arya Tara Investment And Securities Pvt. Ltd.,"Palpa, Tansen",,https://aryatarasecurities.com/,https://tms58.nepsetms.com.np/
106,58,Naasa Securities Co. Ltd.,"Naxal, Kathmandu",,http://www.naasasecurities.com.np/,https://tms58.nepsetms.com.np/
107,58_RWS,Naasa Securities Co. Ltd.,"Adarsha Nagar, Birgunj",,https://naasasecurities.com.np/,https://tms58.nepsetms.com.np/
108,58_RWS,Naasa Securities Company Limited,"Bhanu Chowk, Janakpur",,https://naasasecurities.com.np/,https://tms59.nepsetms.com.np/login
109,59,Deevyaa Securities & Stock House Pvt. Ltd,"Putalisadak, Kathmandu",,http://deevyaasecurities.com.np/,https://tms59.nepsetms.com.np/login
110,59_RWS,Deevyaa Securities & Stock House Pvt. Ltd,"Purano Buspark, Baglung",,http://deevyaasecurities.com.np/,https://tms59.nepsetms.com.np/login
111,59_RWS,Deevyaa Securities & Stock House Pvt. Ltd,"Kusma, Parbat",,http://deevyaasecurities.com.np/,
112,60,Nagarik Stock Dealer Company Ltd.,"New Baneshwor, Kathmandu",,http://nagariksd.com.np/,http://tms61.nepsetms.com.np/
113,61,BHOLE GANESH SECURITIES LIMITED,Kathmandu,,,http://tms62.nepsetms.com.np/
114,62,Capital Max Securities Limited,"Kamalpokhari - 30, Kathmandu, Nepal",,https://www.capitalmax.com.np/,http://tms63.nepsetms.com.np/
115,63,Himalayan Brokerage Company Limited,"Dillibazar-30, Kathmandu, Nepal",,https://www.himalayanbroker.com/,http://tms64.nepsetms.com.np/
116,64,SUN SECURITIES PVT LTD,"4 Square Complex B-Block, 2nd Floor, Narayan Chaur, Naxal, Kathmandu",,https://www.sunsecurities.com/,http://tms65.nepsetms.com.np/
117,65,Sharepro Securities Private Limited,"Jagat Laxmi Bhawan, Pushpalal Path, Dhalko Linkroad-17, Kathmandu, Nepal",,https://www.shareprosecurities.com/,http://tms66.nepsetms.com.np/
118,66,Miyo Securities Pvt Ltd,"Hattisar-01, Kathmandu, Nepal",,http://miyo66.com/,http://tms67.nepsetms.com.np/
119,67,Property Wizard Limited,"Naxal - 01, KMC - Kathmandu, Nepal",,https://propertywizardlimited.com/,https://tms68.nepsetms.com.np/login
120,68,Elite Stock House Limited,"Kathmandu Metropolitan City-02, Kathmandu",,https://www.elitestockhouse.com.np/,https://tms69.nepsetms.com.np/login
121,69,INDEX SECURITIES LIMITED,"Kamal Marg, Dillibazar Kathmandu, Nepal",,https://www.indexsecuritiesnepal.com/,https://tms70.nepsetms.com.np/login
122,70,Infinity Securities Limited,Kathmandu,,https://www.infinitysecurities.com.np/,https://tms71.nepsetms.com.np/login
123,71,SHUBHAKAMANA SECURITIES PVT. LTD,"4th Floor Bhim Plaza Opposite of Four-Square Building, Naxal",,https://shubhakamanasecurities.com.np/,https://tms72.nepsetms.com.np/login
124,72,Hatemalo Financial Services Private Limited,"Narayanchour, Naxal, Kathmandu",,https://www.hatemalo.com.np/,https://tms73.nepsetms.com.np/login
125,73,Money World Share Exchange PVT Ltd,Kathmandu,,,https://tms74.nepsetms.com.np/login
126,74,KALASH STOCK MARKET PVT. LTD.,"Buddhanagar-10, Kathmandu",,https://kalashstock.com.np/,https://tms75.nepsetms.com.np/login
127,75,NIMB Stock Markets Limited,"Saket Complex, 5th Floor, Tripureshwor, Kathmandu",,https://nimbstock.com.np/,https://tms76.nepsetms.com.np/login
128,76,Machhapuchchhre Securities Limited,"Jamal, Kathmandu",,https://msl.com.np/,https://tms77.nepsetms.com.np/login
129,77,Nabil Stock Dealer Limited,"IJ Plaza, Durbarmarga, Kathmandu",,https://www.nabilsecurities.com.np/,https://tms78.garimasecurities.com.np/login
130,78,Garima Securities Limited,"Kamalpokhari 28, Kathmandu",,https://garimasecurities.com.np/,https://tms79.nepsetms.com.np/login
131,79,Pahi Investment,"Duku Complex Shivachowk, Gokarneshwor-7, Kathmandu",,https://pahiinvestment.com/,https://tms80.nepsetms.com.np/login
132,80,Indira Securities Pvt. Ltd,Kathmandu,,https://indirasecurities.com.np/,https://tms81.nepsetms.com.np/login
133,81,Aakashbhairab Securities Ltd.,"Lalitpur-4, Jawalakhel, Bhanimandal",,https://aakashbhairabsecurities.com.np/,https://tms82.nepsetms.com.np/login
134,82,N.M.B. SECURITIES LIMITED,"Naxal, Kathmandu",,https://nmbsl.com.np/,https://tms83.nepsetms.com.np/login
135,83,Sanima Securities Limited,"Share Market Shopping Complex (2nd Floor), Putalisadak, Kathmandu",,https://www.sanimasecurities.com.np/,https://tms84.nepsetms.com.np/login
136,84,MILKY WAY SHARE BROKER COMPANY LTD,"Chakrapath-3, Maharajgunj- Kathmandu",,https://milkywaysharebroker.com.np/,https://tms85.nepsetms.com.np/login
137,85,Capital Hub P. Ltd,"Anamnagar, Kathmandu, Nepal",,https://capitalhub.com.np/,https://tms86.nepsetms.com.np/login
138,86,Stoxkarts Securities Limited,"K.M.C-29, Dillibazar, Kathmandu, Nepal",,https://stoxkarts.com.np/,https://tms87.nepsetms.com.np/login
139,87,S.P.S.A. Securities Limited,"ADS Complex- 6th Floor, New Baneshwor, Kathmandu",,https://spsasecurities.com.np/,https://tms88.nepsetms.com.np/login
140,88,Blue Chip Securities Ltd,"8th Floor, Salesberry Building, Near US Embassy, Maharjgunj, Kathmandu",,https://www.bluechip88.com/,https://tms89.nepsetms.com.np/login
141,89,JBNL Securities ltd,"Sankhamul Marga, New Baneshwor-10, Kathmandu",,https://jbnlsecurities89.com/,https://tms90.nepsetms.com.np/login
142,90,Sajilo Broker Limited,"Jhamsikhel, GPO 11904,Lalitpur Metropolitan City-03, Lalitpur",,https://khumbaya.info/contact-us/,https://tms91.nepsetms.com.np/login
143,91,C.B.I.L. Securities Limited,"Lalitpur Sub-Metropolitan -10, Kupondole, (In front of Himalayan Hotel)",,https://cbilsecurities.com/,https://tms92.nepsetms.com.np/login
144,92,Roadshow securities limited,"Bagdarbar Marga, Sundhara, Kathmandu",,https://roadshowsecurities.com.np/,https://tms94.nepsetms.com.np/login
145,93,Beni Securities Pvt.Ltd.,Kathmandu,,,https://tms94.nepsetms.com.np/login
146,94,K.B.L. Securities Limited,"Kathmandu-01, Gairidhara",,https://www.kblsecurities.com/,https://tms95.nepsetms.com.np/login
147,95,Magnet Securities and Investment Company Private Limited,"Baneshwor Puspanagar, Sahabhagita Marg, Kathmandu-10",,https://magnetsecurities.com.np/,https://tms96.nepsetms.com.np/login
148,96,Himalayan Securities Limited,"IT Plaza, Kamaladi, Kathmandu",,https://himalayansecurities.com/,http://tms97.nepsetms.com.np/
149,97,R.B.B. Securities Company Ltd,Kathmandu,,,https://tms98.trademow.com/login
150,98,Trademow Securities Private Limited,"Dhumbharai Marg, Kathmandu",,https://www.trademow.com/,https://tms99.nepsetms.com.np/login
151,99,Prabhu Stock Market Limited,Kathmandu,,,
152,100,Sunrise Securities Limited,Kathmandu,,,
153,101,APPLE SECURITIES PRIVATE LIMITED,Kathmandu,,,
